names,categories,confidence,websites,socials,phones,addresses,omf_name,omf_category,omf_confidence,omf_websites,omf_socials,omf_phones,omf_addresses,clean_omf_name,clean_omf_addresses
"{""primary"":""Boms & Buns""}","{""primary"":""bakery"",""alternate"":[""fast_food_restaurant""]}",0.9649446494464945,"[""http://bomsnbuns.com/""]","[""https://www.facebook.com/100446268294440""]","[""+6594752559""]","[{""freeform"":""193 Joo Chiat Rd"",""locality"":""Singapore"",""postcode"":""427464"",""country"":""SG""}]",Boms & Buns,bakery,0.9649446494464945,http://bomsnbuns.com/,https://www.facebook.com/100446268294440,+6594752559,"193 Joo Chiat Rd,Singapore,,427464",boms  buns,193 joo chiat rdsingapore427464
"{""primary"":""Montagy Comércio de Peças para Bijouterias Ltda-ME""}","{""primary"":""arts_and_crafts"",""alternate"":[""flowers_and_gifts_shop"",""shopping""]}",0.28686635944700467,"[""http://montagymarilia.placeweb.site""]","[""https://www.facebook.com/1688579098069218""]","[""+551434324687""]","[{""freeform"":""Rua Quatro de Abril, 347"",""locality"":""Marília"",""postcode"":""17500-011"",""region"":""SP"",""country"":""BR""}]",Montagy Comércio de Peças para Bijouterias Ltda-ME,arts_and_crafts,0.28686635944700467,http://montagymarilia.placeweb.site,https://www.facebook.com/1688579098069218,+551434324687,"Rua Quatro de Abril, 347,Marília,SP,17500-011",montagy comrcio de peas para bijouterias ltdame,rua quatro de abril 347marliasp17500011
"{""primary"":""Southwest General Medical Group, Inc. - Family Practice - Brunswick""}","{""primary"":""hospital"",""alternate"":[""medical_center"",""health_and_medical""]}",0.77,"[""https://www.swgeneral.com/our-services/southwest-general-medical-group/family-medicine/brunswick-family-practice.aspx""]",,"[""3305580070""]","[{""freeform"":""4065 Center Rd Ste 220"",""locality"":""Brunswick"",""postcode"":""44212"",""region"":""OH"",""country"":""US""}]","Southwest General Medical Group, Inc. - Family Practice - Brunswick",hospital,0.77,https://www.swgeneral.com/our-services/southwest-general-medical-group/family-medicine/brunswick-family-practice.aspx,,3305580070,"4065 Center Rd Ste 220,Brunswick,OH,44212",southwest general medical group inc  family practice  brunswick,4065 center rd ste 220brunswickoh44212
"{""primary"":""The Butcher's - Macelleria, Gastronomia e Braceria""}","{""primary"":""butcher_shop"",""alternate"":[""eat_and_drink"",""shopping""]}",0.9645127118644068,,"[""https://www.facebook.com/271961619330972""]","[""+393513136226""]","[{""freeform"":""Via Vittorio Veneto, 4"",""locality"":""Monopoli"",""postcode"":""70043"",""region"":""75"",""country"":""IT""}]","The Butcher's - Macelleria, Gastronomia e Braceria",butcher_shop,0.9645127118644068,,https://www.facebook.com/271961619330972,+393513136226,"Via Vittorio Veneto, 4,Monopoli,75,70043",the butchers  macelleria gastronomia e braceria,via vittorio veneto 4monopoli7570043
"{""primary"":""Lars-Erik Larssongymnasiet""}","{""primary"":""education"",""alternate"":[""high_school"",""private_school""]}",0.9837452982267598,"[""http://www.lel.nu/""]","[""https://www.facebook.com/867052006684560""]","[""+46463781300""]","[{""freeform"":""Bredgatan 13"",""locality"":""Lund"",""postcode"":""222 21"",""country"":""SE""}]",Lars-Erik Larssongymnasiet,education,0.9837452982267598,http://www.lel.nu/,https://www.facebook.com/867052006684560,+46463781300,"Bredgatan 13,Lund,,222 21",larserik larssongymnasiet,bredgatan 13lund222 21
"{""primary"":""Fifth Third Bank""}","{""primary"":""bank_credit_union"",""alternate"":[""financial_service"",""atms""]}",0.9962614185921548,"[""http://www.53.com/""]","[""https://www.facebook.com/135477623451885""]","[""+17707540001""]","[{""freeform"":""2755 Old Milton Pkwy"",""locality"":""Alpharetta"",""postcode"":""30009-2219"",""region"":""GA"",""country"":""US""}]",Fifth Third Bank,bank_credit_union,0.9962614185921548,http://www.53.com/,https://www.facebook.com/135477623451885,+17707540001,"2755 Old Milton Pkwy,Alpharetta,GA,30009-2219",fifth third bank,2755 old milton pkwyalpharettaga300092219
"{""primary"":""ทิวาปลาเผา""}","{""primary"":""restaurant"",""alternate"":[""thai_restaurant"",""japanese_restaurant""]}",0.28671328671328666,,"[""https://www.facebook.com/1443231029086459""]",,"[{""country"":""TH""}]",ทิวาปลาเผา,restaurant,0.28671328671328666,,https://www.facebook.com/1443231029086459,,",,,",,
"{""primary"":""いきなり! ステーキ 出雲斐川町""}","{""primary"":""steakhouse"",""alternate"":[""restaurant"",""eat_and_drink""]}",0.9837452982267598,"[""http://ikinaristeak.com/home""]","[""https://www.facebook.com/1670293329732982""]","[""+81853319929""]","[{""freeform"":""島根県出雲市斐川町荘原１０８"",""locality"":""出雲市"",""postcode"":""699-0502"",""country"":""JP""}]",いきなり! ステーキ 出雲斐川町,steakhouse,0.9837452982267598,http://ikinaristeak.com/home,https://www.facebook.com/1670293329732982,+81853319929,"島根県出雲市斐川町荘原１０８,出雲市,,699-0502",  ,6990502
"{""primary"":""Bottega Verde""}","{""primary"":""cosmetic_and_beauty_supplies"",""alternate"":[""beauty_and_spa""]}",0.282258064516129,"[""http://www.bottegaverde.it/""]","[""https://www.facebook.com/127109308051836""]","[""+390735431771""]","[{""freeform"":""Viale Secondo Moretti, 14"",""locality"":""San Benedetto del Tronto"",""postcode"":""63074"",""region"":""57"",""country"":""IT""}]",Bottega Verde,cosmetic_and_beauty_supplies,0.282258064516129,http://www.bottegaverde.it/,https://www.facebook.com/127109308051836,+390735431771,"Viale Secondo Moretti, 14,San Benedetto del Tronto,57,63074",bottega verde,viale secondo moretti 14san benedetto del tronto5763074
"{""primary"":""Bitcoin Depot""}","{""primary"":""atms"",""alternate"":[""financial_service"",""restaurant""]}",0.282258064516129,"[""https://www.bitcoindepot.com/""]","[""https://www.facebook.com/353611255113084""]","[""+16784359604""]","[{""freeform"":""3820 Pleasantdale Rd"",""locality"":""Atlanta"",""postcode"":""30340-4254"",""region"":""GA"",""country"":""US""}]",Bitcoin Depot,atms,0.282258064516129,https://www.bitcoindepot.com/,https://www.facebook.com/353611255113084,+16784359604,"3820 Pleasantdale Rd,Atlanta,GA,30340-4254",bitcoin depot,3820 pleasantdale rdatlantaga303404254
