clean_omf_name,clean_yelp_name,clean_omf_addresses,clean_yelp_address,omf_category,categories_yelp,omf_confidence,omf_websites,omf_socials,omf_phones
mister car wash,mister car wash,1435 w river rdtucsonaz85704,1435 w river rdtucsonaz85704,auto_detailing,"Car Wash, Auto Detailing, Automotive",0.77,https://mistercarwash.com/,,5202931359.0
the glen at shawmont station,the glen at shawmont station,300 autumn river runphiladelphiapa19128,300 autumn river runphiladelphiapa19128,apartments,"Home Services, Real Estate, Apartments",0.77,https://www.theglenphilly.com/,,2154824889.0
cracker barrel old country store,cracker barrel old country store,213 indian lake blvdhendersonvilletn37075,213 indian lake blvdhendersonvilletn37075,breakfast_and_brunch_restaurant,"Restaurants, Southern, Breakfast & Brunch, African, American (Traditional), Desserts, Food, Salad",0.77,https://www.crackerbarrel.com/Locations/States/tn/hendersonville/630/,,6158227407.0
angelos cleaning,angelos cleaning,312 bridge stphoenixvillepa19460,312 bridge stphoenixvillepa19460,air_duct_cleaning_service,"Damage Restoration, Shopping, Home Cleaning, Home & Garden, Local Services, Air Duct Cleaning, Grout Services, Home Services, Carpet Cleaning",0.77,https://angeloscleaning.com/,,6109357557.0
jasons deli,jasons deli,4026 e 82nd stindianapolisin46250,4026 e 82nd stindianapolisin46250,sandwich_shop,"Delis, Caterers, Restaurants, Sandwiches, Salad, Event Planning & Services",0.77,https://www.jasonsdeli.com/restaurants/keystone-deli,,2078747483.0
